;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
1840;Mafamude e Vilar do Paraíso, Porto;245.000;3.0;2.0;106.0;130.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;47;True
1841;OVAR Centro, Ovar;160.000;2.0;2.0;87.0;99.0;1.0;1.0;Not available;True;False;False;False;47,1;False
1842;Mangualde, Mesquitela e Cunha Alta, Viseu;105.000;2.0;2.0;84.0;104.0;1.0;2.0;Not available;True;False;False;False;50,9;False
1843;Encosta da Barata, Abrantes;Under Consultation;3.0;2.0;111.0;111.0;;;Not available;True;False;False;False;53,4;False
1844;Póvoa de Varzim, Beiriz e Argivai, Porto;189.000;3.0;2.0;79.0;79.0;;;Not available;True;False;True;True;47;True
1845;Costa da Caparica, Setúbal;287.000;2.0;1.0;85.0;86.0;;;Not available;True;False;True;True;46,6;True
1846;À Av. Gomes Pereira, Lisboa;240.000;1.0;1.0;38.0;43.0;;;Not available;True;True;True;True;44,8;False
1847;Paços de Brandão, Aveiro;205.000;3.0;2.0;96.0;96.0;;;Not available;True;False;False;False;45,5;True
1848;Queluz e Belas, Lisboa;154.000;1.0;1.0;50.0;39.0;;;Not available;True;True;True;True;44,8;False
1849;Paços de Brandão, Aveiro;200.000;3.0;2.0;104.0;104.0;;;Not available;True;False;False;False;45,5;True
1850;Centro de Carnaxide, Oeiras;Under Consultation;3.0;2.0;86.0;95.0;;;Not available;True;False;False;False;46,5;False
1851;Casal Gouveia, Sintra;185.000;2.0;1.0;64.0;70.0;;;Not available;True;False;False;False;58,1;False
1852;Paços de Brandão, Aveiro;165.000;2.0;2.0;57.0;57.0;;;Not available;True;False;False;False;45,5;True
1853;Águas Santas, Porto;279.000;2.0;2.0;;;;;Not available;True;False;True;True;47;True
1854;Paços de Brandão, Aveiro;140.000;1.0;1.0;40.0;40.0;;;Not available;True;False;False;False;45,5;True
1855;Pinheiro Manso, Porto;298.000;2.0;2.0;94.0;94.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;47;True
1856;Paços de Brandão, Aveiro;125.000;1.0;1.0;47.0;47.0;;;Not available;True;False;False;False;45,5;True
1857;Queluz e Belas, Lisboa;197.500;2.0;1.0;71.0;78.0;;;Not available;True;True;True;True;44,8;False
1858;Feijó, Almada;245.000;3.0;2.0;89.0;93.0;;;Not available;True;False;True;False;46,3;False
1859;Ajuda, Funchal;485.000;3.0;2.0;133.0;103.0;;;Not available;True;False;False;True;48;False
1860;Paços de Brandão, Aveiro;130.000;1.0;1.0;44.0;44.0;;;Not available;True;False;False;False;45,5;True
1861;Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;420.000;3.0;2.0;93.0;108.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;46,3;False
1862;Alcabideche, Lisboa;269.000;2.0;1.0;70.0;89.0;;;Not available;True;True;True;True;44,8;False
1863;São Domingos de Rana, Lisboa;495.000;;;;;;2.0;Not available;False;True;True;True;44,8;False
1864;Olivais Sul, Lisboa;Under Consultation;3.0;1.0;75.0;75.0;;;Not available;True;True;True;True;44,8;False
1865;Rio Tinto, Porto;165.000;3.0;1.0;84.0;103.0;1.0;1.0;Not available;True;False;True;True;47;True
1866;Águas Santas, Porto;270.000;2.0;2.0;;;;;Not available;True;False;True;True;47;True
1867;Olivais Sul, Lisboa;499.000;3.0;2.0;130.0;130.0;;;Not available;True;True;True;True;44,8;False
1868;Oliveira do Hospital e São Paio de Gramaços, Coimbra;147.500;4.0;3.0;212.0;145.0;1.0;3.0;Not available;True;False;False;True;48,3;False
1869;Massamá 6ª Fase, Sintra;Under Consultation;1.0;1.0;81.0;82.0;;;Not available;True;False;False;False;43,7;False
1870;Campinas, Sintra;295.000;3.0;2.0;110.0;121.0;3.0;;Not available;True;False;False;False;43,7;False
